case_id,category,brand,model,question,expected_answer,expected_page,source_file,evidence_chunk_id,acceptable_evidence_chunk_ids,answerable,expected_behavior,faithfulness_review,review_status,notes
E001,answerable,SMEG,WM24UWH,What should I do before using the washer for the first time?,"Check installation and connections, remove the shipping bolts, open both water taps, confirm the drum is empty, then run an empty Tub Sanitize cycle without laundry additives.",26,SMEG_WM24UWH_User_Manual.pdf,smeg_wm24uwh_p026_c01,smeg_wm24uwh_p026_c01,TRUE,answer_with_citation,TRUE,completed,First-use procedure
E002,answerable,SMEG,WM24UWH,How do I activate or deactivate the child lock?,Press and hold the related auxiliary function button for 3 seconds; after the 3-2-1 countdown the child-lock symbol appears or disappears.,51,SMEG_WM24UWH_User_Manual.pdf,smeg_wm24uwh_p051_c01,smeg_wm24uwh_p051_c01,TRUE,answer_with_citation,TRUE,completed,Child-lock control
E003,answerable,SMEG,WM24UWH,When should I clean the drain pump filter?,Clean it if the washer fails to drain or to prevent clogging; fully drain the water and let hot water cool before opening the filter.,62,SMEG_WM24UWH_User_Manual.pdf,smeg_wm24uwh_p062_c01,smeg_wm24uwh_p062_c01,TRUE,answer_with_citation,TRUE,completed,Drain-pump maintenance
E004,answerable,SMEG,WM24UWH,What water pressure does this washer require?,"The required water pressure is 15-145 psi (1-10 bar). If it exceeds 145 psi, install a pressure-reducing valve.",22,SMEG_WM24UWH_User_Manual.pdf,smeg_wm24uwh_p022_c01,smeg_wm24uwh_p022_c01,TRUE,answer_with_citation,TRUE,completed,Installation specification
E005,answerable,SMEG,WM24UWH,Can I change the spin speed after selecting a program?,"Yes, if the program has not reached the spin step and spin-speed adjustment is allowed; press the Spin Speed Adjustment button to reduce it.",47,SMEG_WM24UWH_User_Manual.pdf,smeg_wm24uwh_p047_c01,smeg_wm24uwh_p047_c01,TRUE,answer_with_citation,FALSE,not_selected,Program setting
E006,answerable,SMEG,WM24UWH,Can I add laundry after the program has started?,"Press Start/Pause. If the water level is safe, the door unlocks; add the garments, close the door, and press Start/Pause again.",56,SMEG_WM24UWH_User_Manual.pdf,smeg_wm24uwh_p056_c01,smeg_wm24uwh_p056_c01,TRUE,answer_with_citation,FALSE,not_selected,Door-lock safety
E007,answerable,SMEG,WM24UWH,Why is my laundry still wet at the end of the program?,"Possible causes include excess foam, an unbalanced or very small load, or incorrect/excessive detergent. Use the recommended HE detergent amount and redistribute or add laundry before spinning again.",75,SMEG_WM24UWH_User_Manual.pdf,smeg_wm24uwh_p075_c01,smeg_wm24uwh_p075_c01,TRUE,answer_with_citation,FALSE,not_selected,Troubleshooting
E008,answerable,Gaggenau,WM260162CN,How should I run the washer before the first load?,"Run Drum clean at 90°C with no laundry, add about 1 litre of water and half the normal amount of standard washing powder to the stated compartment, then start the program.",20,Gaggenau_WM260162CN_User_Manual.pdf,gaggenau_wm260162cn_p020_c01,gaggenau_wm260162cn_p020_c01,TRUE,answer_with_citation,TRUE,completed,First-use procedure
E009,answerable,Gaggenau,WM260162CN,How do I turn the child lock on or off?,Press and hold both Child lock buttons for about 3 seconds. The lock stays active even after the washer is switched off.,43,Gaggenau_WM260162CN_User_Manual.pdf,gaggenau_wm260162cn_p043_c02,gaggenau_wm260162cn_p043_c02,TRUE,answer_with_citation,TRUE,completed,Child-lock control
E010,answerable,Gaggenau,WM260162CN,What should I do if the drain pump is blocked?,"Turn off the tap, switch off and unplug the appliance, remove the service flap, and use the drain hose to empty the water after allowing hot water to cool.",54,Gaggenau_WM260162CN_User_Manual.pdf,gaggenau_wm260162cn_p054_c01,gaggenau_wm260162cn_p054_c01,TRUE,answer_with_citation,TRUE,completed,Blocked drain pump
E011,answerable,Gaggenau,WM260162CN,Which detergent should I use for coloured easy-care or synthetic fabrics?,"Use a detergent for colours or delicates without optical brighteners, with the Easy-Care program from cold up to 60°C.",28,Gaggenau_WM260162CN_User_Manual.pdf,gaggenau_wm260162cn_p028_c01,gaggenau_wm260162cn_p028_c01,TRUE,answer_with_citation,TRUE,completed,Detergent selection
E012,answerable,Gaggenau,WM260162CN,What is the Super 15 program intended for?,"It is an approximately 15-minute extra-short program for small items of lightly soiled laundry, with a maximum load of 2 kg.",31,Gaggenau_WM260162CN_User_Manual.pdf,gaggenau_wm260162cn_p031_c01,gaggenau_wm260162cn_p031_c01,TRUE,answer_with_citation,FALSE,not_selected,Program purpose
E013,answerable,Gaggenau,WM260162CN,How can I open the door during a power cut?,"Switch off and unplug the appliance, drain the water, ensure the drum has stopped and no water is visible through the glass, then pull the emergency release downward with a tool.",56,Gaggenau_WM260162CN_User_Manual.pdf,gaggenau_wm260162cn_p056_c01,gaggenau_wm260162cn_p056_c01,TRUE,answer_with_citation,FALSE,not_selected,Emergency release
