case_id,category,brand,model,question,expected_behavior,expected_answer,acceptable_evidence_chunk_ids,retrieved_top3_chunk_ids,retrieval_rank,retrieval_hit_at_3,system_status,system_reason,system_answer,cited_chunk_ids,cited_pages,behavior_pass,model_used,input_tokens,output_tokens,total_tokens,latency_seconds,estimated_cost_usd,faithfulness_review,faithfulness_label,faithfulness_notes,error
E001,answerable,SMEG,WM24UWH,What should I do before using the washer for the first time?,answer_with_citation,"Check installation and connections, remove the shipping bolts, open both water taps, confirm the drum is empty, then run an empty Tub Sanitize cycle without laundry additives.",smeg_wm24uwh_p026_c01,smeg_wm24uwh_p026_c01|smeg_wm24uwh_p004_c02|smeg_wm24uwh_p035_c01,1,TRUE,answer,,"Before using the washer for the first time:

- Read the Important Safety Instructions and the rest of the operating instructions. [E1]
- Make sure a qualified installer or service technician installed it according to applicable codes and requirements. [E1]
- Check that the shipping bolts are fully removed, and that the electrical supply is 120 V, 60 Hz and the plumbing is suitable. [E1]
- Turn on both water faucets and check the hoses and faucet connections for leaks. [E1]
- Make sure the drum is empty. [E1]
- Run the **Tub Sanitize** cycle with no laundry or additives; when it finishes, the washer is ready for use. [E1]",smeg_wm24uwh_p026_c01,26,TRUE,openai/gpt-6-luna,790,148,938,1.991,0.000153,TRUE,PASS,Page 26 supports every preparation step and the empty Tub Sanitize cycle.,
E002,answerable,SMEG,WM24UWH,How do I activate or deactivate the child lock?,answer_with_citation,Press and hold the related auxiliary function button for 3 seconds; after the 3-2-1 countdown the child-lock symbol appears or disappears.,smeg_wm24uwh_p051_c01,smeg_wm24uwh_p051_c01|smeg_wm24uwh_p037_c01|smeg_wm24uwh_p057_c01,1,TRUE,answer,,"To activate or deactivate the child lock, press and hold the related auxiliary function button for 3 seconds. Wait for the “3-2-1” countdown to finish; the child-lock symbol appears when activated and disappears when deactivated. [E1]",smeg_wm24uwh_p051_c01,51,TRUE,openai/gpt-6-luna,751,56,807,2.616,0.0001031,TRUE,PASS,Page 51 supports the three-second control and symbol behavior.,
E003,answerable,SMEG,WM24UWH,When should I clean the drain pump filter?,answer_with_citation,Clean it if the washer fails to drain or to prevent clogging; fully drain the water and let hot water cool before opening the filter.,smeg_wm24uwh_p062_c01,smeg_wm24uwh_p062_c01|smeg_wm24uwh_p065_c02|smeg_wm24uwh_p068_c02,1,TRUE,answer,,"Clean the drain pump filter occasionally to prevent clogging, especially if the washer fails to drain or drains slowly. [E1][E2]",smeg_wm24uwh_p062_c01|smeg_wm24uwh_p065_c02,62|65,TRUE,openai/gpt-6-luna,691,33,724,1.057,8.56e-05,TRUE,PASS,The cited pages support periodic cleaning and cleaning when drainage is impaired.,
E004,answerable,SMEG,WM24UWH,What water pressure does this washer require?,answer_with_citation,"The required water pressure is 15-145 psi (1-10 bar). If it exceeds 145 psi, install a pressure-reducing valve.",smeg_wm24uwh_p022_c01,smeg_wm24uwh_p073_c01|smeg_wm24uwh_p022_c01|smeg_wm24uwh_p065_c01,2,TRUE,answer,,The washer requires water pressure of 15–145 psi (1–10 bar). [E2],smeg_wm24uwh_p022_c01,22,TRUE,openai/gpt-6-luna,953,25,978,0.993,0.0001078,TRUE,PASS,Page 22 states the 15-145 psi (1-10 bar) range.,
E005,answerable,SMEG,WM24UWH,Can I change the spin speed after selecting a program?,answer_with_citation,"Yes, if the program has not reached the spin step and spin-speed adjustment is allowed; press the Spin Speed Adjustment button to reduce it.",smeg_wm24uwh_p047_c01,smeg_wm24uwh_p047_c01|smeg_wm24uwh_p054_c01|smeg_wm24uwh_p037_c01,1,TRUE,answer,,"Yes. If the program has not reached the spin step, you can change the spin speed by pressing the Spin Speed Adjustment button; speed adjustment may not be available for some programs. [E1]",smeg_wm24uwh_p047_c01,47,TRUE,openai/gpt-6-luna,693,44,737,0.987,9.13e-05,FALSE,,,
E006,answerable,SMEG,WM24UWH,Can I add laundry after the program has started?,answer_with_citation,"Press Start/Pause. If the water level is safe, the door unlocks; add the garments, close the door, and press Start/Pause again.",smeg_wm24uwh_p056_c01,smeg_wm24uwh_p056_c01|smeg_wm24uwh_p055_c01|smeg_wm24uwh_p053_c01,1,TRUE,answer,,"Yes. Press Start/Pause; if the water level is suitable, the door unlocks so you can add laundry. Close the door and press Start/Pause again to resume. [E1]",smeg_wm24uwh_p056_c01,56,TRUE,openai/gpt-6-luna,803,86,889,1.909,0.0001233,FALSE,,,
E007,answerable,SMEG,WM24UWH,Why is my laundry still wet at the end of the program?,answer_with_citation,"Possible causes include excess foam, an unbalanced or very small load, or incorrect/excessive detergent. Use the recommended HE detergent amount and redistribute or add laundry before spinning again.",smeg_wm24uwh_p075_c01,smeg_wm24uwh_p074_c02|smeg_wm24uwh_p052_c01|smeg_wm24uwh_p075_c01,3,TRUE,answer,Retrieved passage 3 contains the required key terms.,"Laundry may remain wet because excess detergent caused excessive foam and activated the washer’s foam-absorption system, the load was too small or unevenly distributed, or non-HE/excessive detergent led to poor spinning. [E3]",smeg_wm24uwh_p075_c01,75,TRUE,openai/gpt-6-luna,845,125,970,2.614,0.000147,FALSE,,,
E008,answerable,Gaggenau,WM260162CN,How should I run the washer before the first load?,answer_with_citation,"Run Drum clean at 90°C with no laundry, add about 1 litre of water and half the normal amount of standard washing powder to the stated compartment, then start the program.",gaggenau_wm260162cn_p020_c01,gaggenau_wm260162cn_p020_c01|gaggenau_wm260162cn_p052_c02|gaggenau_wm260162cn_p005_c02,1,TRUE,answer,,"Run the first wash with no laundry to remove any water left from factory testing. [E1]

1. Make sure the washer is correctly installed and connected, and check that it is not damaged. [E1]
2. Fill the ß and i dispenser compartments, remove the protective film from the control panel, plug in the washer, and turn on the tap. [E1]
3. Switch on the washer, close the door without loading laundry, and select **Drum clean 90 °C**. [E1]
4. Open the detergent drawer, pour about 1 litre of water into compartment **v u**, then add standard washing powder to **v uII**. [E1]
5. Use only half the detergent amount recommended by its manufacturer; do not use detergent intended for wool or delicates.",gaggenau_wm260162cn_p020_c01,20,TRUE,openai/gpt-6-luna,816,300,1116,2.898,0.0002316,TRUE,PASS,Page 20 supports the no-laundry Drum clean procedure and detergent instructions.,
E009,answerable,Gaggenau,WM260162CN,How do I turn the child lock on or off?,answer_with_citation,Press and hold both Child lock buttons for about 3 seconds. The lock stays active even after the washer is switched off.,gaggenau_wm260162cn_p043_c02,gaggenau_wm260162cn_p043_c02|gaggenau_wm260162cn_p003_c04|gaggenau_wm260162cn_p041_c02,1,TRUE,answer,,Press and hold both buttons marked “Child lock (¯ 3 sec.)” for about three seconds to turn the child lock on or off. [E1],gaggenau_wm260162cn_p043_c02,43,TRUE,openai/gpt-6-luna,848,37,885,1.093,0.0001033,TRUE,PASS,Page 43 supports holding both child-lock controls for about three seconds.,
E010,answerable,Gaggenau,WM260162CN,What should I do if the drain pump is blocked?,answer_with_citation,"Turn off the tap, switch off and unplug the appliance, remove the service flap, and use the drain hose to empty the water after allowing hot water to cool.",gaggenau_wm260162cn_p054_c01,gaggenau_wm260162cn_p004_c02|gaggenau_wm260162cn_p057_c02|gaggenau_wm260162cn_p054_c01,3,TRUE,answer,,"If the water may be hot, let it cool first. Turn off the water tap, switch off and unplug the appliance, then remove the service flap. [E3]

Take the drain hose out of its retainer, remove its cap and drain the water into a suitable container. Replace the cap and return the hose to its retainer. [E3]

The manual says to clean the drain pump, but the supplied instructions do not include the pump-cleaning steps. [E2][E3]",gaggenau_wm260162cn_p057_c02|gaggenau_wm260162cn_p054_c01,57|54,TRUE,openai/gpt-6-luna,1035,298,1333,3.855,0.0002783,TRUE,PASS,"The cited pages support cooling, isolation, emergency draining, and pump cleaning.",
